Günter,Koray,Hellas Verona
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.01,10
TOTAL_SHOTS,0.28,15
ASSISTS,0.07,91
XA,0.01,52
NON_PEN_XG+XA,0.03,9
SHOT_CREATIONS,0.62,61
PASSES_ATTEMPTED,50.08,44
PASS_COMPLETION_PERCENTAGE,87.2,54
PROGRESSIVE_PASSES,3.20,69
PROGRESSIVE CARRIES,1.93,34
DRIBBLES_COMPLETED,0.17,39
TOUCHES_IN_AREA,0.38,10
PROGRESSIVE_PASSES_RECIEVED,0.07,25
PRESSURES,8.75,49
TACKLES,1.31,38
INTERCEPTIONS,2.45,89
BLOCKS,2.07,83
CLEARANCES,7.16,93
AERIAL_DUELS_WON,4.13,95
