Tameze,Adrien,Hellas Verona
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,64
NON_PEN_XG,0.02,12
TOTAL_SHOTS,0.48,15
ASSISTS,0.00,11
XA,0.03,14
NON_PEN_XG+XA,0.05,8
SHOT_CREATIONS,1.26,20
PASSES_ATTEMPTED,42.96,28
PASS_COMPLETION_PERCENTAGE,80.4,29
PROGRESSIVE_PASSES,4.01,54
PROGRESSIVE CARRIES,3.31,38
DRIBBLES_COMPLETED,1.26,84
TOUCHES_IN_AREA,0.97,44
PROGRESSIVE_PASSES_RECIEVED,2.27,69
PRESSURES,16.98,36
TACKLES,2.08,43
INTERCEPTIONS,1.90,74
BLOCKS,1.71,65
CLEARANCES,1.93,77
AERIAL_DUELS_WON,1.97,81
