"b'Lazovic, Darko'",Hellas Verona
AM,DM,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,65
NON_PEN_XG,0.11,94
TOTAL_SHOTS,1.20,94
ASSISTS,0.25,94
XA,0.15,86
NON_PEN_XG+XA,0.26,91
SHOT_CREATIONS,2.29,81
PASSES_ATTEMPTED,49.25,34
PASS_COMPLETION_PERCENTAGE,72.6,18
PROGRESSIVE_PASSES,5.35,91
PROGRESSIVE CARRIES,5.24,65
DRIBBLES_COMPLETED,0.56,31
TOUCHES_IN_AREA,3.29,94
PROGRESSIVE_PASSES_RECIEVED,3.24,82
PRESSURES,7.34,1
TACKLES,0.98,3
INTERCEPTIONS,0.78,1
BLOCKS,1.65,33
CLEARANCES,1.31,8
AERIAL_DUELS_WON,0.81,26
