"b'Ilic, Ivan'",Hellas Verona
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,81
NON_PEN_XG,0.07,56
TOTAL_SHOTS,0.62,28
ASSISTS,0.12,74
XA,0.05,35
NON_PEN_XG+XA,0.12,43
SHOT_CREATIONS,1.83,51
PASSES_ATTEMPTED,55.51,64
PASS_COMPLETION_PERCENTAGE,84.3,54
PROGRESSIVE_PASSES,4.54,68
PROGRESSIVE CARRIES,4.58,66
DRIBBLES_COMPLETED,1.32,86
TOUCHES_IN_AREA,0.89,39
PROGRESSIVE_PASSES_RECIEVED,1.83,56
PRESSURES,13.40,9
TACKLES,1.71,24
INTERCEPTIONS,1.59,49
BLOCKS,1.28,25
CLEARANCES,1.71,66
AERIAL_DUELS_WON,1.71,72
