Casale,Nicolò,Hellas Verona
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.02,14
TOTAL_SHOTS,0.37,28
ASSISTS,0.09,96
XA,0.10,99
NON_PEN_XG+XA,0.12,95
SHOT_CREATIONS,1.47,97
PASSES_ATTEMPTED,43.57,20
PASS_COMPLETION_PERCENTAGE,82.9,22
PROGRESSIVE_PASSES,3.32,74
PROGRESSIVE CARRIES,3.04,61
DRIBBLES_COMPLETED,0.55,92
TOUCHES_IN_AREA,0.83,54
PROGRESSIVE_PASSES_RECIEVED,0.64,94
PRESSURES,17.41,99
TACKLES,2.03,77
INTERCEPTIONS,2.49,90
BLOCKS,1.38,21
CLEARANCES,3.41,8
AERIAL_DUELS_WON,1.84,16
