Barák,Antonín,Hellas Verona
AM,CM,FW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.17,34
NON_PEN_XG,0.20,46
TOTAL_SHOTS,1.66,31
ASSISTS,0.17,43
XA,0.11,14
NON_PEN_XG+XA,0.30,26
SHOT_CREATIONS,2.08,8
PASSES_ATTEMPTED,44.60,73
PASS_COMPLETION_PERCENTAGE,79.3,70
PROGRESSIVE_PASSES,4.46,79
PROGRESSIVE CARRIES,5.73,44
DRIBBLES_COMPLETED,0.97,16
TOUCHES_IN_AREA,3.54,40
PROGRESSIVE_PASSES_RECIEVED,5.12,26
PRESSURES,15.20,42
TACKLES,1.25,39
INTERCEPTIONS,0.58,20
BLOCKS,1.55,80
CLEARANCES,1.19,93
AERIAL_DUELS_WON,2.38,97
