Hongla,Martin,Hellas Verona
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,92
NON_PEN_XG,0.09,74
TOTAL_SHOTS,0.55,23
ASSISTS,0.00,11
XA,0.00,1
NON_PEN_XG+XA,0.09,26
SHOT_CREATIONS,0.74,4
PASSES_ATTEMPTED,39.75,20
PASS_COMPLETION_PERCENTAGE,86.1,69
PROGRESSIVE_PASSES,1.66,2
PROGRESSIVE CARRIES,3.31,38
DRIBBLES_COMPLETED,0.18,1
TOUCHES_IN_AREA,0.00,1
PROGRESSIVE_PASSES_RECIEVED,0.92,15
PRESSURES,11.96,3
TACKLES,1.84,30
INTERCEPTIONS,1.10,18
BLOCKS,0.74,1
CLEARANCES,2.76,95
AERIAL_DUELS_WON,1.47,63
