Abraham,Tammy,Roma
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.35,47
NON_PEN_XG,0.57,92
TOTAL_SHOTS,2.64,63
ASSISTS,0.15,60
XA,0.12,54
NON_PEN_XG+XA,0.69,88
SHOT_CREATIONS,2.49,64
PASSES_ATTEMPTED,18.87,20
PASS_COMPLETION_PERCENTAGE,75.2,67
PROGRESSIVE_PASSES,1.69,61
PROGRESSIVE CARRIES,2.39,41
DRIBBLES_COMPLETED,0.90,42
TOUCHES_IN_AREA,5.63,70
PROGRESSIVE_PASSES_RECIEVED,7.57,51
PRESSURES,14.09,45
TACKLES,1.14,84
INTERCEPTIONS,0.20,11
BLOCKS,0.90,68
CLEARANCES,1.14,88
AERIAL_DUELS_WON,2.79,73
