Mayoral,Borja,Roma
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.69,96
NON_PEN_XG,0.51,86
TOTAL_SHOTS,2.30,41
ASSISTS,0.11,40
XA,0.09,30
NON_PEN_XG+XA,0.60,77
SHOT_CREATIONS,2.46,63
PASSES_ATTEMPTED,21.63,38
PASS_COMPLETION_PERCENTAGE,77.5,82
PROGRESSIVE_PASSES,1.07,22
PROGRESSIVE CARRIES,2.24,35
DRIBBLES_COMPLETED,0.91,43
TOUCHES_IN_AREA,4.97,42
PROGRESSIVE_PASSES_RECIEVED,7.58,53
PRESSURES,16.93,76
TACKLES,0.32,8
INTERCEPTIONS,0.21,15
BLOCKS,0.16,1
CLEARANCES,0.27,15
AERIAL_DUELS_WON,0.91,23
