Patrício,Rui,Roma
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.06,42
GOALS_CONCEDED,1.29,56
SAVE_PERCENTAGE,71.0,65
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.28,30
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,31.7,70
TOUCHES,25.93,1
LAUNCH_PERCENTAGE,45.1,58
GOAL_KICKS,6.81,30
AVG_GOAL_KICK_DISTANCE,36.8,20
CROSSES_STOPPED_PERCENTAGE,3.7,2
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.34,9
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,12.4,6
