Cristante,Bryan,Roma
DF,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,67
NON_PEN_XG,0.10,75
TOTAL_SHOTS,1.29,77
ASSISTS,0.08,59
XA,0.05,32
NON_PEN_XG+XA,0.14,54
SHOT_CREATIONS,1.50,33
PASSES_ATTEMPTED,58.91,73
PASS_COMPLETION_PERCENTAGE,83.6,49
PROGRESSIVE_PASSES,5.15,77
PROGRESSIVE CARRIES,3.83,49
DRIBBLES_COMPLETED,0.66,40
TOUCHES_IN_AREA,1.37,62
PROGRESSIVE_PASSES_RECIEVED,1.53,44
PRESSURES,16.44,31
TACKLES,1.77,27
INTERCEPTIONS,1.53,44
BLOCKS,1.21,19
CLEARANCES,3.11,98
AERIAL_DUELS_WON,1.85,76
