Mkhitaryan,Henrikh,Roma
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.19,41
NON_PEN_XG,0.26,73
TOTAL_SHOTS,2.29,65
ASSISTS,0.25,71
XA,0.20,67
NON_PEN_XG+XA,0.46,69
SHOT_CREATIONS,3.03,41
PASSES_ATTEMPTED,37.88,46
PASS_COMPLETION_PERCENTAGE,79.0,68
PROGRESSIVE_PASSES,3.87,68
PROGRESSIVE CARRIES,5.40,37
DRIBBLES_COMPLETED,1.25,31
TOUCHES_IN_AREA,3.60,41
PROGRESSIVE_PASSES_RECIEVED,6.49,52
PRESSURES,19.96,80
TACKLES,1.91,81
INTERCEPTIONS,1.42,87
BLOCKS,1.42,69
CLEARANCES,0.27,18
AERIAL_DUELS_WON,0.55,39
