Villar,Gonzalo,Roma
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.01,6
TOTAL_SHOTS,0.39,10
ASSISTS,0.05,39
XA,0.04,24
NON_PEN_XG+XA,0.05,11
SHOT_CREATIONS,1.32,24
PASSES_ATTEMPTED,57.10,68
PASS_COMPLETION_PERCENTAGE,89.0,88
PROGRESSIVE_PASSES,4.69,70
PROGRESSIVE CARRIES,5.04,77
DRIBBLES_COMPLETED,1.52,92
TOUCHES_IN_AREA,1.12,52
PROGRESSIVE_PASSES_RECIEVED,1.56,46
PRESSURES,20.87,76
TACKLES,2.10,44
INTERCEPTIONS,0.98,13
BLOCKS,1.32,29
CLEARANCES,1.22,35
AERIAL_DUELS_WON,1.32,55
