Cuenca,Jorge,Villarreal
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,77
NON_PEN_XG,0.03,27
TOTAL_SHOTS,0.76,83
ASSISTS,0.00,28
XA,0.01,31
NON_PEN_XG+XA,0.03,12
SHOT_CREATIONS,0.31,13
PASSES_ATTEMPTED,35.62,7
PASS_COMPLETION_PERCENTAGE,71.5,1
PROGRESSIVE_PASSES,2.06,27
PROGRESSIVE CARRIES,1.07,9
DRIBBLES_COMPLETED,0.00,1
TOUCHES_IN_AREA,1.14,81
PROGRESSIVE_PASSES_RECIEVED,0.08,26
PRESSURES,9.61,62
TACKLES,2.59,96
INTERCEPTIONS,2.14,76
BLOCKS,1.53,37
CLEARANCES,5.87,77
AERIAL_DUELS_WON,3.36,80
