Gaspar,Mario,Villarreal
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.04,57
TOTAL_SHOTS,0.63,55
ASSISTS,0.00,8
XA,0.09,60
NON_PEN_XG+XA,0.13,57
SHOT_CREATIONS,1.54,46
PASSES_ATTEMPTED,52.32,50
PASS_COMPLETION_PERCENTAGE,83.3,83
PROGRESSIVE_PASSES,3.01,27
PROGRESSIVE CARRIES,4.13,39
DRIBBLES_COMPLETED,0.56,31
TOUCHES_IN_AREA,2.80,90
PROGRESSIVE_PASSES_RECIEVED,3.01,78
PRESSURES,15.41,80
TACKLES,3.29,94
INTERCEPTIONS,1.19,19
BLOCKS,2.03,66
CLEARANCES,3.64,95
AERIAL_DUELS_WON,1.75,81
