Capoue,Étienne,Villarreal
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,65
NON_PEN_XG,0.05,39
TOTAL_SHOTS,0.51,19
ASSISTS,0.03,22
XA,0.02,7
NON_PEN_XG+XA,0.07,15
SHOT_CREATIONS,0.90,7
PASSES_ATTEMPTED,54.03,60
PASS_COMPLETION_PERCENTAGE,90.0,94
PROGRESSIVE_PASSES,3.71,46
PROGRESSIVE CARRIES,3.71,48
DRIBBLES_COMPLETED,0.92,61
TOUCHES_IN_AREA,0.44,10
PROGRESSIVE_PASSES_RECIEVED,0.67,8
PRESSURES,15.39,23
TACKLES,1.87,31
INTERCEPTIONS,1.84,69
BLOCKS,1.15,17
CLEARANCES,2.53,93
AERIAL_DUELS_WON,2.10,85
