Aurier,Serge,Villarreal
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,71
NON_PEN_XG,0.06,75
TOTAL_SHOTS,0.83,73
ASSISTS,0.19,88
XA,0.15,85
NON_PEN_XG+XA,0.21,85
SHOT_CREATIONS,1.91,63
PASSES_ATTEMPTED,60.38,79
PASS_COMPLETION_PERCENTAGE,82.9,82
PROGRESSIVE_PASSES,4.00,65
PROGRESSIVE CARRIES,3.24,17
DRIBBLES_COMPLETED,1.27,79
TOUCHES_IN_AREA,1.78,68
PROGRESSIVE_PASSES_RECIEVED,3.05,78
PRESSURES,17.29,90
TACKLES,3.11,90
INTERCEPTIONS,1.40,33
BLOCKS,2.29,82
CLEARANCES,2.48,54
AERIAL_DUELS_WON,2.48,96
