Chukwueze,Samuel,Villarreal
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.29,68
NON_PEN_XG,0.27,79
TOTAL_SHOTS,2.33,66
ASSISTS,0.23,68
XA,0.23,76
NON_PEN_XG+XA,0.49,76
SHOT_CREATIONS,3.02,40
PASSES_ATTEMPTED,33.84,28
PASS_COMPLETION_PERCENTAGE,73.2,32
PROGRESSIVE_PASSES,2.91,34
PROGRESSIVE CARRIES,9.42,93
DRIBBLES_COMPLETED,3.78,98
TOUCHES_IN_AREA,7.50,95
PROGRESSIVE_PASSES_RECIEVED,8.20,86
PRESSURES,13.95,31
TACKLES,1.05,27
INTERCEPTIONS,0.41,5
BLOCKS,1.10,43
CLEARANCES,0.52,50
AERIAL_DUELS_WON,0.93,70
