Torres,Pau,Villarreal
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,51
NON_PEN_XG,0.05,61
TOTAL_SHOTS,0.49,50
ASSISTS,0.04,75
XA,0.04,91
NON_PEN_XG+XA,0.09,85
SHOT_CREATIONS,0.62,61
PASSES_ATTEMPTED,58.78,68
PASS_COMPLETION_PERCENTAGE,90.0,80
PROGRESSIVE_PASSES,4.01,86
PROGRESSIVE CARRIES,4.65,88
DRIBBLES_COMPLETED,0.81,98
TOUCHES_IN_AREA,0.94,67
PROGRESSIVE_PASSES_RECIEVED,0.13,42
PRESSURES,4.85,1
TACKLES,0.62,1
INTERCEPTIONS,1.54,36
BLOCKS,1.30,15
CLEARANCES,3.93,18
AERIAL_DUELS_WON,1.79,14
