Moreno,Gerard,Villarreal
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.49,77
NON_PEN_XG,0.41,70
TOTAL_SHOTS,3.03,79
ASSISTS,0.38,98
XA,0.27,97
NON_PEN_XG+XA,0.69,88
SHOT_CREATIONS,2.97,77
PASSES_ATTEMPTED,37.44,91
PASS_COMPLETION_PERCENTAGE,69.8,32
PROGRESSIVE_PASSES,4.23,96
PROGRESSIVE CARRIES,4.75,83
DRIBBLES_COMPLETED,2.46,97
TOUCHES_IN_AREA,5.81,71
PROGRESSIVE_PASSES_RECIEVED,7.94,59
PRESSURES,11.11,20
TACKLES,0.71,50
INTERCEPTIONS,0.74,91
BLOCKS,0.85,66
CLEARANCES,0.71,57
AERIAL_DUELS_WON,2.13,61
