Parejo,Daniel,Villarreal
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,37
NON_PEN_XG,0.03,19
TOTAL_SHOTS,0.59,26
ASSISTS,0.22,93
XA,0.20,97
NON_PEN_XG+XA,0.23,86
SHOT_CREATIONS,3.32,94
PASSES_ATTEMPTED,73.95,92
PASS_COMPLETION_PERCENTAGE,86.5,71
PROGRESSIVE_PASSES,7.08,96
PROGRESSIVE CARRIES,4.13,55
DRIBBLES_COMPLETED,0.81,54
TOUCHES_IN_AREA,0.57,17
PROGRESSIVE_PASSES_RECIEVED,1.19,28
PRESSURES,17.34,42
TACKLES,1.94,35
INTERCEPTIONS,1.32,28
BLOCKS,1.38,34
CLEARANCES,0.93,20
AERIAL_DUELS_WON,0.51,11
