Coquelin,Francis,Villarreal
CM,DM,FB
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,60
NON_PEN_XG,0.03,26
TOTAL_SHOTS,0.49,16
ASSISTS,0.07,54
XA,0.15,90
NON_PEN_XG+XA,0.18,73
SHOT_CREATIONS,2.22,66
PASSES_ATTEMPTED,53.32,58
PASS_COMPLETION_PERCENTAGE,88.4,85
PROGRESSIVE_PASSES,3.67,46
PROGRESSIVE CARRIES,4.16,56
DRIBBLES_COMPLETED,1.66,93
TOUCHES_IN_AREA,2.36,88
PROGRESSIVE_PASSES_RECIEVED,3.88,90
PRESSURES,16.78,33
TACKLES,2.63,73
INTERCEPTIONS,2.08,82
BLOCKS,1.73,66
CLEARANCES,1.87,74
AERIAL_DUELS_WON,1.94,80
