Gómez,Moi,Villarreal
LAM,AM,LW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,16
NON_PEN_XG,0.13,16
TOTAL_SHOTS,0.98,4
ASSISTS,0.07,12
XA,0.10,11
NON_PEN_XG+XA,0.24,11
SHOT_CREATIONS,2.36,14
PASSES_ATTEMPTED,42.98,65
PASS_COMPLETION_PERCENTAGE,81.7,86
PROGRESSIVE_PASSES,3.47,57
PROGRESSIVE CARRIES,5.59,42
DRIBBLES_COMPLETED,1.28,31
TOUCHES_IN_AREA,2.63,16
PROGRESSIVE_PASSES_RECIEVED,5.42,31
PRESSURES,13.34,23
TACKLES,0.91,18
INTERCEPTIONS,1.01,61
BLOCKS,0.94,26
CLEARANCES,0.67,68
AERIAL_DUELS_WON,0.51,34
