Mandi,Aïssa,Villarreal
CB,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,87
NON_PEN_XG,0.11,98
TOTAL_SHOTS,0.42,39
ASSISTS,0.04,71
XA,0.00,13
NON_PEN_XG+XA,0.11,92
SHOT_CREATIONS,0.18,3
PASSES_ATTEMPTED,58.13,65
PASS_COMPLETION_PERCENTAGE,92.8,95
PROGRESSIVE_PASSES,2.33,38
PROGRESSIVE CARRIES,2.61,50
DRIBBLES_COMPLETED,0.04,4
TOUCHES_IN_AREA,0.88,61
PROGRESSIVE_PASSES_RECIEVED,0.07,25
PRESSURES,5.02,2
TACKLES,1.13,21
INTERCEPTIONS,1.20,10
BLOCKS,1.24,10
CLEARANCES,4.38,32
AERIAL_DUELS_WON,2.05,25
