Pino,Yeremi,Villarreal
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.21,49
NON_PEN_XG,0.15,24
TOTAL_SHOTS,1.13,7
ASSISTS,0.17,43
XA,0.11,16
NON_PEN_XG+XA,0.26,16
SHOT_CREATIONS,2.34,13
PASSES_ATTEMPTED,30.40,19
PASS_COMPLETION_PERCENTAGE,79.1,69
PROGRESSIVE_PASSES,2.38,23
PROGRESSIVE CARRIES,5.60,42
DRIBBLES_COMPLETED,1.71,54
TOUCHES_IN_AREA,5.22,77
PROGRESSIVE_PASSES_RECIEVED,7.27,70
PRESSURES,18.17,68
TACKLES,2.17,92
INTERCEPTIONS,1.25,80
BLOCKS,2.88,99
CLEARANCES,0.33,25
AERIAL_DUELS_WON,0.88,68
