Alcácer,Paco,Villarreal
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.20,14
NON_PEN_XG,0.36,52
TOTAL_SHOTS,2.08,30
ASSISTS,0.25,88
XA,0.21,87
NON_PEN_XG+XA,0.57,70
SHOT_CREATIONS,1.52,12
PASSES_ATTEMPTED,17.52,13
PASS_COMPLETION_PERCENTAGE,74.9,66
PROGRESSIVE_PASSES,0.81,11
PROGRESSIVE CARRIES,1.22,6
DRIBBLES_COMPLETED,0.51,16
TOUCHES_IN_AREA,5.17,51
PROGRESSIVE_PASSES_RECIEVED,6.43,29
PRESSURES,12.81,34
TACKLES,0.41,18
INTERCEPTIONS,0.56,75
BLOCKS,0.51,18
CLEARANCES,0.30,21
AERIAL_DUELS_WON,0.81,16
