Modeste,Anthony,Köln
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.53,81
NON_PEN_XG,0.55,90
TOTAL_SHOTS,3.99,95
ASSISTS,0.05,21
XA,0.02,2
NON_PEN_XG+XA,0.57,72
SHOT_CREATIONS,1.33,6
PASSES_ATTEMPTED,16.90,11
PASS_COMPLETION_PERCENTAGE,65.4,13
PROGRESSIVE_PASSES,0.64,4
PROGRESSIVE CARRIES,0.90,4
DRIBBLES_COMPLETED,0.21,2
TOUCHES_IN_AREA,5.00,45
PROGRESSIVE_PASSES_RECIEVED,6.22,21
PRESSURES,11.80,22
TACKLES,0.21,4
INTERCEPTIONS,0.16,5
BLOCKS,0.53,20
CLEARANCES,1.28,93
AERIAL_DUELS_WON,4.04,87
