Andersson,Sebastian,Köln
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.24,21
NON_PEN_XG,0.40,67
TOTAL_SHOTS,3.60,92
ASSISTS,0.08,28
XA,0.05,10
NON_PEN_XG+XA,0.45,45
SHOT_CREATIONS,1.25,4
PASSES_ATTEMPTED,17.23,12
PASS_COMPLETION_PERCENTAGE,69.1,29
PROGRESSIVE_PASSES,0.71,5
PROGRESSIVE CARRIES,1.64,14
DRIBBLES_COMPLETED,0.39,7
TOUCHES_IN_AREA,5.95,74
PROGRESSIVE_PASSES_RECIEVED,7.05,42
PRESSURES,12.14,27
TACKLES,0.71,50
INTERCEPTIONS,0.31,36
BLOCKS,0.47,14
CLEARANCES,0.78,66
AERIAL_DUELS_WON,4.31,89
