Hector,Jonas,Köln
DM,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,86
NON_PEN_XG,0.15,99
TOTAL_SHOTS,1.30,95
ASSISTS,0.19,88
XA,0.16,87
NON_PEN_XG+XA,0.31,96
SHOT_CREATIONS,2.53,87
PASSES_ATTEMPTED,49.50,36
PASS_COMPLETION_PERCENTAGE,77.5,50
PROGRESSIVE_PASSES,3.60,51
PROGRESSIVE CARRIES,4.21,41
DRIBBLES_COMPLETED,0.34,10
TOUCHES_IN_AREA,2.64,86
PROGRESSIVE_PASSES_RECIEVED,4.21,94
PRESSURES,17.13,89
TACKLES,2.11,57
INTERCEPTIONS,1.76,63
BLOCKS,1.95,56
CLEARANCES,2.45,52
AERIAL_DUELS_WON,2.45,95
