Horn,Timo,Köln
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.18,17
GOALS_CONCEDED,1.76,15
SAVE_PERCENTAGE,62.3,12
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.34,92
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,11.8,8
TOUCHES,41.97,86
LAUNCH_PERCENTAGE,39.4,39
GOAL_KICKS,6.29,19
AVG_GOAL_KICK_DISTANCE,37.1,21
CROSSES_STOPPED_PERCENTAGE,3.5,1
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.76,68
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.8,64
