Ehizibue,Kingsley,Köln
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.06,72
TOTAL_SHOTS,0.85,76
ASSISTS,0.08,54
XA,0.08,49
NON_PEN_XG+XA,0.13,56
SHOT_CREATIONS,1.19,20
PASSES_ATTEMPTED,46.27,22
PASS_COMPLETION_PERCENTAGE,74.7,29
PROGRESSIVE_PASSES,3.14,33
PROGRESSIVE CARRIES,4.42,47
DRIBBLES_COMPLETED,1.61,90
TOUCHES_IN_AREA,1.27,48
PROGRESSIVE_PASSES_RECIEVED,1.87,39
PRESSURES,17.66,91
TACKLES,2.72,82
INTERCEPTIONS,2.04,82
BLOCKS,2.29,83
CLEARANCES,4.42,99
AERIAL_DUELS_WON,2.21,92
