Itten,Cedric,Greuther Fürth
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.28,30
NON_PEN_XG,0.37,57
TOTAL_SHOTS,2.22,35
ASSISTS,0.00,5
XA,0.01,1
NON_PEN_XG+XA,0.39,29
SHOT_CREATIONS,1.11,3
PASSES_ATTEMPTED,22.29,44
PASS_COMPLETION_PERCENTAGE,59.0,1
PROGRESSIVE_PASSES,0.97,16
PROGRESSIVE CARRIES,1.80,21
DRIBBLES_COMPLETED,0.55,19
TOUCHES_IN_AREA,5.26,57
PROGRESSIVE_PASSES_RECIEVED,7.06,42
PRESSURES,21.46,94
TACKLES,1.80,99
INTERCEPTIONS,0.28,29
BLOCKS,0.28,2
CLEARANCES,0.55,43
AERIAL_DUELS_WON,5.26,94
