Viergever,Nick,Greuther Fürth
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.00,1
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.00,1
SHOT_CREATIONS,0.52,48
PASSES_ATTEMPTED,39.61,13
PASS_COMPLETION_PERCENTAGE,78.0,6
PROGRESSIVE_PASSES,1.69,13
PROGRESSIVE CARRIES,1.30,16
DRIBBLES_COMPLETED,0.00,1
TOUCHES_IN_AREA,0.13,2
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,9.48,60
TACKLES,1.56,57
INTERCEPTIONS,1.04,5
BLOCKS,2.08,83
CLEARANCES,5.58,70
AERIAL_DUELS_WON,1.30,4
