Burchert,Sascha,Greuther Fürth
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.30,5
GOALS_CONCEDED,2.38,1
SAVE_PERCENTAGE,62.2,11
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.30,54
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,12.5,9
TOUCHES,41.75,85
LAUNCH_PERCENTAGE,59.0,91
GOAL_KICKS,7.63,56
AVG_GOAL_KICK_DISTANCE,57.9,88
CROSSES_STOPPED_PERCENTAGE,6.1,24
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.25,93
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,16.6,92
