Willems,Jetro,Greuther Fürth
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.03,39
TOTAL_SHOTS,0.60,52
ASSISTS,0.00,8
XA,0.13,80
NON_PEN_XG+XA,0.16,70
SHOT_CREATIONS,1.50,42
PASSES_ATTEMPTED,45.05,19
PASS_COMPLETION_PERCENTAGE,75.4,33
PROGRESSIVE_PASSES,4.58,79
PROGRESSIVE CARRIES,2.19,4
DRIBBLES_COMPLETED,1.00,66
TOUCHES_IN_AREA,0.70,16
PROGRESSIVE_PASSES_RECIEVED,0.90,8
PRESSURES,10.47,19
TACKLES,1.79,36
INTERCEPTIONS,1.79,64
BLOCKS,2.29,83
CLEARANCES,2.49,57
AERIAL_DUELS_WON,1.10,44
