Tillman,Timothy,Greuther Fürth
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,88
NON_PEN_XG,0.16,93
TOTAL_SHOTS,1.57,86
ASSISTS,0.31,99
XA,0.16,91
NON_PEN_XG+XA,0.31,95
SHOT_CREATIONS,2.50,78
PASSES_ATTEMPTED,28.80,3
PASS_COMPLETION_PERCENTAGE,72.3,3
PROGRESSIVE_PASSES,3.76,47
PROGRESSIVE CARRIES,4.54,65
DRIBBLES_COMPLETED,1.41,88
TOUCHES_IN_AREA,1.72,78
PROGRESSIVE_PASSES_RECIEVED,3.91,90
PRESSURES,18.31,48
TACKLES,1.88,32
INTERCEPTIONS,1.41,34
BLOCKS,1.41,38
CLEARANCES,1.57,53
AERIAL_DUELS_WON,0.63,18
