Hrgota,Branimir,Greuther Fürth
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,12
NON_PEN_XG,0.17,34
TOTAL_SHOTS,2.21,61
ASSISTS,0.22,66
XA,0.15,38
NON_PEN_XG+XA,0.31,28
SHOT_CREATIONS,3.09,45
PASSES_ATTEMPTED,24.12,3
PASS_COMPLETION_PERCENTAGE,71.3,24
PROGRESSIVE_PASSES,2.43,24
PROGRESSIVE CARRIES,3.53,5
DRIBBLES_COMPLETED,1.69,53
TOUCHES_IN_AREA,3.82,47
PROGRESSIVE_PASSES_RECIEVED,5.96,43
PRESSURES,22.06,93
TACKLES,1.32,47
INTERCEPTIONS,0.66,28
BLOCKS,1.10,43
CLEARANCES,0.44,37
AERIAL_DUELS_WON,0.81,65
