Funk,Marius,Greuther Fürth
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.40,3
GOALS_CONCEDED,3.75,1
SAVE_PERCENTAGE,46.2,1
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.45,99
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,0.0,1
TOUCHES,48.63,98
LAUNCH_PERCENTAGE,49.5,70
GOAL_KICKS,8.63,91
AVG_GOAL_KICK_DISTANCE,53.8,81
CROSSES_STOPPED_PERCENTAGE,5.9,21
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.50,98
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,17.0,95
