Bauer,Maximilian,Greuther Fürth
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.02,19
TOTAL_SHOTS,0.48,48
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.02,7
SHOT_CREATIONS,0.40,29
PASSES_ATTEMPTED,43.84,21
PASS_COMPLETION_PERCENTAGE,80.8,12
PROGRESSIVE_PASSES,0.96,1
PROGRESSIVE CARRIES,0.88,7
DRIBBLES_COMPLETED,0.00,1
TOUCHES_IN_AREA,0.96,69
PROGRESSIVE_PASSES_RECIEVED,0.08,26
PRESSURES,12.08,86
TACKLES,1.84,74
INTERCEPTIONS,2.16,77
BLOCKS,1.44,26
CLEARANCES,6.24,83
AERIAL_DUELS_WON,2.96,65
