Leweling,Jamie,Greuther Fürth
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.38,86
NON_PEN_XG,0.26,74
TOTAL_SHOTS,2.01,52
ASSISTS,0.13,28
XA,0.08,3
NON_PEN_XG+XA,0.34,38
SHOT_CREATIONS,1.88,3
PASSES_ATTEMPTED,17.07,1
PASS_COMPLETION_PERCENTAGE,58.8,1
PROGRESSIVE_PASSES,1.13,1
PROGRESSIVE CARRIES,5.77,45
DRIBBLES_COMPLETED,2.13,71
TOUCHES_IN_AREA,3.89,50
PROGRESSIVE_PASSES_RECIEVED,5.40,31
PRESSURES,18.45,72
TACKLES,0.63,3
INTERCEPTIONS,1.13,74
BLOCKS,1.63,85
CLEARANCES,0.38,30
AERIAL_DUELS_WON,0.38,21
