Baba,Iddrisu,Mallorca
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,88
NON_PEN_XG,0.09,74
TOTAL_SHOTS,1.08,63
ASSISTS,0.00,11
XA,0.02,8
NON_PEN_XG+XA,0.11,35
SHOT_CREATIONS,0.62,2
PASSES_ATTEMPTED,35.80,12
PASS_COMPLETION_PERCENTAGE,81.2,33
PROGRESSIVE_PASSES,2.86,20
PROGRESSIVE CARRIES,2.71,23
DRIBBLES_COMPLETED,0.85,57
TOUCHES_IN_AREA,0.62,21
PROGRESSIVE_PASSES_RECIEVED,0.15,1
PRESSURES,18.25,48
TACKLES,4.10,99
INTERCEPTIONS,1.70,59
BLOCKS,1.55,50
CLEARANCES,2.09,84
AERIAL_DUELS_WON,2.40,90
