Battaglia,Rodrigo,Mallorca
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,48
NON_PEN_XG,0.04,33
TOTAL_SHOTS,0.67,31
ASSISTS,0.00,11
XA,0.01,3
NON_PEN_XG+XA,0.05,10
SHOT_CREATIONS,0.72,4
PASSES_ATTEMPTED,43.87,31
PASS_COMPLETION_PERCENTAGE,84.7,56
PROGRESSIVE_PASSES,2.16,5
PROGRESSIVE CARRIES,3.35,40
DRIBBLES_COMPLETED,0.81,54
TOUCHES_IN_AREA,1.15,55
PROGRESSIVE_PASSES_RECIEVED,0.67,9
PRESSURES,15.66,25
TACKLES,2.06,42
INTERCEPTIONS,0.86,8
BLOCKS,1.53,50
CLEARANCES,2.39,90
AERIAL_DUELS_WON,2.06,84
