Niño,Fernando,Mallorca
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.48,76
NON_PEN_XG,0.47,81
TOTAL_SHOTS,1.93,20
ASSISTS,0.00,5
XA,0.02,3
NON_PEN_XG+XA,0.49,54
SHOT_CREATIONS,1.60,14
PASSES_ATTEMPTED,19.65,22
PASS_COMPLETION_PERCENTAGE,71.0,38
PROGRESSIVE_PASSES,0.72,6
PROGRESSIVE CARRIES,2.25,36
DRIBBLES_COMPLETED,1.04,56
TOUCHES_IN_AREA,4.49,26
PROGRESSIVE_PASSES_RECIEVED,6.98,40
PRESSURES,16.60,72
TACKLES,0.72,52
INTERCEPTIONS,0.08,1
BLOCKS,0.80,61
CLEARANCES,1.12,87
AERIAL_DUELS_WON,3.53,81
