Reina,Manolo,Mallorca
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.06,45
GOALS_CONCEDED,1.25,64
SAVE_PERCENTAGE,66.7,41
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.30,54
PENALTY_SAVE_PERCENTAGE,33.3,83
CLEAN_SHEET_PERCENTAGE,37.5,86
TOUCHES,31.69,20
LAUNCH_PERCENTAGE,56.0,85
GOAL_KICKS,8.50,88
AVG_GOAL_KICK_DISTANCE,44.4,43
CROSSES_STOPPED_PERCENTAGE,7.6,55
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.56,37
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.9,66
