Ruiz de Galarreta,Iñigo,Mallorca
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.05,37
TOTAL_SHOTS,0.80,40
ASSISTS,0.00,11
XA,0.03,17
NON_PEN_XG+XA,0.07,16
SHOT_CREATIONS,2.00,59
PASSES_ATTEMPTED,48.40,43
PASS_COMPLETION_PERCENTAGE,79.1,22
PROGRESSIVE_PASSES,4.80,72
PROGRESSIVE CARRIES,3.70,48
DRIBBLES_COMPLETED,1.30,85
TOUCHES_IN_AREA,0.50,14
PROGRESSIVE_PASSES_RECIEVED,1.70,50
PRESSURES,13.30,9
TACKLES,2.40,57
INTERCEPTIONS,1.50,42
BLOCKS,1.40,38
CLEARANCES,1.50,49
AERIAL_DUELS_WON,0.90,38
