Kubo,Takefusa,Mallorca
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,26
NON_PEN_XG,0.13,16
TOTAL_SHOTS,1.83,41
ASSISTS,0.07,13
XA,0.10,7
NON_PEN_XG+XA,0.23,8
SHOT_CREATIONS,2.96,38
PASSES_ATTEMPTED,23.57,2
PASS_COMPLETION_PERCENTAGE,73.7,34
PROGRESSIVE_PASSES,2.67,29
PROGRESSIVE CARRIES,5.63,43
DRIBBLES_COMPLETED,1.97,65
TOUCHES_IN_AREA,2.89,21
PROGRESSIVE_PASSES_RECIEVED,5.14,26
PRESSURES,19.70,78
TACKLES,0.70,6
INTERCEPTIONS,1.48,91
BLOCKS,2.11,97
CLEARANCES,0.49,44
AERIAL_DUELS_WON,0.49,33
