Maffeo,Pablo,Mallorca
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,51
NON_PEN_XG,0.03,41
TOTAL_SHOTS,0.71,64
ASSISTS,0.18,86
XA,0.10,64
NON_PEN_XG+XA,0.13,55
SHOT_CREATIONS,2.08,75
PASSES_ATTEMPTED,44.81,17
PASS_COMPLETION_PERCENTAGE,66.8,3
PROGRESSIVE_PASSES,2.75,18
PROGRESSIVE CARRIES,4.83,56
DRIBBLES_COMPLETED,1.41,84
TOUCHES_IN_AREA,1.37,52
PROGRESSIVE_PASSES_RECIEVED,2.15,53
PRESSURES,11.35,28
TACKLES,2.08,54
INTERCEPTIONS,2.22,88
BLOCKS,2.01,62
CLEARANCES,1.90,29
AERIAL_DUELS_WON,1.76,83
