Costa,Jaume,Mallorca
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,5
TOTAL_SHOTS,0.25,14
ASSISTS,0.08,54
XA,0.07,38
NON_PEN_XG+XA,0.07,21
SHOT_CREATIONS,1.56,47
PASSES_ATTEMPTED,56.39,65
PASS_COMPLETION_PERCENTAGE,77.2,47
PROGRESSIVE_PASSES,3.44,46
PROGRESSIVE CARRIES,5.82,75
DRIBBLES_COMPLETED,0.57,33
TOUCHES_IN_AREA,0.74,18
PROGRESSIVE_PASSES_RECIEVED,1.89,40
PRESSURES,9.67,13
TACKLES,2.62,81
INTERCEPTIONS,1.39,32
BLOCKS,1.64,33
CLEARANCES,2.95,78
AERIAL_DUELS_WON,1.31,60
