Förster,Philipp,Stuttgart
AM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.19,39
NON_PEN_XG,0.19,41
TOTAL_SHOTS,1.57,25
ASSISTS,0.09,16
XA,0.14,32
NON_PEN_XG+XA,0.32,34
SHOT_CREATIONS,3.28,53
PASSES_ATTEMPTED,42.63,63
PASS_COMPLETION_PERCENTAGE,83.4,93
PROGRESSIVE_PASSES,4.70,83
PROGRESSIVE CARRIES,7.50,77
DRIBBLES_COMPLETED,0.85,11
TOUCHES_IN_AREA,3.61,41
PROGRESSIVE_PASSES_RECIEVED,6.31,50
PRESSURES,19.27,76
TACKLES,2.18,92
INTERCEPTIONS,0.81,41
BLOCKS,1.38,67
CLEARANCES,0.38,31
AERIAL_DUELS_WON,0.95,72
