Massimo,Roberto,Stuttgart
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,92
NON_PEN_XG,0.21,99
TOTAL_SHOTS,1.97,99
ASSISTS,0.00,8
XA,0.17,90
NON_PEN_XG+XA,0.38,99
SHOT_CREATIONS,2.39,84
PASSES_ATTEMPTED,32.86,1
PASS_COMPLETION_PERCENTAGE,74.9,31
PROGRESSIVE_PASSES,2.32,6
PROGRESSIVE CARRIES,4.08,38
DRIBBLES_COMPLETED,2.11,97
TOUCHES_IN_AREA,3.59,96
PROGRESSIVE_PASSES_RECIEVED,7.11,99
PRESSURES,18.30,93
TACKLES,1.62,23
INTERCEPTIONS,1.48,40
BLOCKS,1.34,11
CLEARANCES,1.06,3
AERIAL_DUELS_WON,0.77,25
