Katompa,Silas,Stuttgart
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.24,99
NON_PEN_XG,0.12,97
TOTAL_SHOTS,1.55,96
ASSISTS,0.08,53
XA,0.23,96
NON_PEN_XG+XA,0.36,99
SHOT_CREATIONS,2.44,85
PASSES_ATTEMPTED,22.05,1
PASS_COMPLETION_PERCENTAGE,69.0,7
PROGRESSIVE_PASSES,1.14,1
PROGRESSIVE CARRIES,4.80,56
DRIBBLES_COMPLETED,3.26,99
TOUCHES_IN_AREA,4.96,99
PROGRESSIVE_PASSES_RECIEVED,6.43,99
PRESSURES,15.30,79
TACKLES,2.52,75
INTERCEPTIONS,0.73,1
BLOCKS,1.63,30
CLEARANCES,0.49,1
AERIAL_DUELS_WON,1.06,40
