Anton,Waldemar,Stuttgart
DF,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.04,47
TOTAL_SHOTS,0.49,49
ASSISTS,0.06,85
XA,0.03,82
NON_PEN_XG+XA,0.07,66
SHOT_CREATIONS,0.98,89
PASSES_ATTEMPTED,68.61,87
PASS_COMPLETION_PERCENTAGE,88.7,69
PROGRESSIVE_PASSES,2.79,56
PROGRESSIVE CARRIES,3.25,67
DRIBBLES_COMPLETED,0.32,72
TOUCHES_IN_AREA,1.03,75
PROGRESSIVE_PASSES_RECIEVED,0.32,81
PRESSURES,9.28,58
TACKLES,1.23,29
INTERCEPTIONS,1.81,60
BLOCKS,1.69,55
CLEARANCES,5.34,62
AERIAL_DUELS_WON,2.44,46
