Klement,Philipp,Stuttgart
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.29,98
NON_PEN_XG,0.06,46
TOTAL_SHOTS,1.47,85
ASSISTS,0.00,11
XA,0.28,99
NON_PEN_XG+XA,0.34,97
SHOT_CREATIONS,4.42,99
PASSES_ATTEMPTED,74.24,93
PASS_COMPLETION_PERCENTAGE,81.9,37
PROGRESSIVE_PASSES,5.60,85
PROGRESSIVE CARRIES,5.60,84
DRIBBLES_COMPLETED,1.47,90
TOUCHES_IN_AREA,1.33,61
PROGRESSIVE_PASSES_RECIEVED,3.83,90
PRESSURES,16.79,33
TACKLES,1.91,33
INTERCEPTIONS,0.74,2
BLOCKS,1.62,57
CLEARANCES,1.47,49
AERIAL_DUELS_WON,0.88,36
