Mangala,Orel,Stuttgart
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,46
NON_PEN_XG,0.07,51
TOTAL_SHOTS,0.93,49
ASSISTS,0.14,80
XA,0.07,56
NON_PEN_XG+XA,0.14,55
SHOT_CREATIONS,2.42,74
PASSES_ATTEMPTED,43.40,30
PASS_COMPLETION_PERCENTAGE,85.3,61
PROGRESSIVE_PASSES,3.02,24
PROGRESSIVE CARRIES,4.14,56
DRIBBLES_COMPLETED,2.46,99
TOUCHES_IN_AREA,2.04,84
PROGRESSIVE_PASSES_RECIEVED,3.44,88
PRESSURES,9.94,1
TACKLES,1.02,3
INTERCEPTIONS,1.39,33
BLOCKS,1.67,60
CLEARANCES,0.84,17
AERIAL_DUELS_WON,0.56,15
