Karazor,Atakan,Stuttgart
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.01,1
TOTAL_SHOTS,0.23,2
ASSISTS,0.06,44
XA,0.06,41
NON_PEN_XG+XA,0.06,13
SHOT_CREATIONS,1.25,19
PASSES_ATTEMPTED,60.79,76
PASS_COMPLETION_PERCENTAGE,85.0,57
PROGRESSIVE_PASSES,3.91,51
PROGRESSIVE CARRIES,2.49,20
DRIBBLES_COMPLETED,0.62,34
TOUCHES_IN_AREA,0.45,11
PROGRESSIVE_PASSES_RECIEVED,0.79,14
PRESSURES,18.79,53
TACKLES,2.49,64
INTERCEPTIONS,1.92,77
BLOCKS,2.55,98
CLEARANCES,3.57,99
AERIAL_DUELS_WON,2.60,92
