Al Ghaddioui,Hamadi,Stuttgart
,,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.34,46
NON_PEN_XG,0.29,29
TOTAL_SHOTS,2.24,38
ASSISTS,0.34,96
XA,0.19,81
NON_PEN_XG+XA,0.48,53
SHOT_CREATIONS,1.72,20
PASSES_ATTEMPTED,19.79,22
PASS_COMPLETION_PERCENTAGE,66.1,15
PROGRESSIVE_PASSES,0.52,1
PROGRESSIVE CARRIES,1.38,9
DRIBBLES_COMPLETED,0.00,1
TOUCHES_IN_AREA,4.13,14
PROGRESSIVE_PASSES_RECIEVED,6.71,35
PRESSURES,18.76,85
TACKLES,1.20,87
INTERCEPTIONS,0.00,1
BLOCKS,0.52,19
CLEARANCES,0.69,54
AERIAL_DUELS_WON,2.75,71
