Müller,Florian,Stuttgart
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.07,77
GOALS_CONCEDED,1.52,39
SAVE_PERCENTAGE,72.0,70
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.29,39
PENALTY_SAVE_PERCENTAGE,50.0,91
CLEAN_SHEET_PERCENTAGE,19.4,32
TOUCHES,44.58,92
LAUNCH_PERCENTAGE,33.7,26
GOAL_KICKS,8.68,92
AVG_GOAL_KICK_DISTANCE,46.9,55
CROSSES_STOPPED_PERCENTAGE,5.5,17
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.77,70
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.2,40
