Ito,Hiroki,Stuttgart
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,85
NON_PEN_XG,0.03,26
TOTAL_SHOTS,0.60,70
ASSISTS,0.00,28
XA,0.07,99
NON_PEN_XG+XA,0.10,88
SHOT_CREATIONS,0.80,80
PASSES_ATTEMPTED,75.74,96
PASS_COMPLETION_PERCENTAGE,83.2,24
PROGRESSIVE_PASSES,3.11,67
PROGRESSIVE CARRIES,2.31,42
DRIBBLES_COMPLETED,0.10,18
TOUCHES_IN_AREA,0.80,51
PROGRESSIVE_PASSES_RECIEVED,0.70,95
PRESSURES,9.44,60
TACKLES,2.01,77
INTERCEPTIONS,3.01,99
BLOCKS,2.41,97
CLEARANCES,4.82,47
AERIAL_DUELS_WON,2.11,31
