Kempf,Marc-Oliver,Stuttgart
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,86
NON_PEN_XG,0.05,63
TOTAL_SHOTS,0.78,85
ASSISTS,0.04,70
XA,0.04,85
NON_PEN_XG+XA,0.09,81
SHOT_CREATIONS,1.20,95
PASSES_ATTEMPTED,65.80,81
PASS_COMPLETION_PERCENTAGE,84.0,32
PROGRESSIVE_PASSES,5.14,96
PROGRESSIVE CARRIES,4.65,87
DRIBBLES_COMPLETED,0.67,95
TOUCHES_IN_AREA,0.99,71
PROGRESSIVE_PASSES_RECIEVED,0.18,56
PRESSURES,11.10,78
TACKLES,2.08,80
INTERCEPTIONS,1.90,65
BLOCKS,2.25,92
CLEARANCES,4.72,43
AERIAL_DUELS_WON,4.02,94
