Mavropanos,Konstantinos,Stuttgart
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,98
NON_PEN_XG,0.08,90
TOTAL_SHOTS,0.91,94
ASSISTS,0.00,28
XA,0.00,14
NON_PEN_XG+XA,0.09,80
SHOT_CREATIONS,0.49,44
PASSES_ATTEMPTED,65.39,80
PASS_COMPLETION_PERCENTAGE,81.0,13
PROGRESSIVE_PASSES,4.56,93
PROGRESSIVE CARRIES,3.04,61
DRIBBLES_COMPLETED,0.80,98
TOUCHES_IN_AREA,1.14,81
PROGRESSIVE_PASSES_RECIEVED,0.11,36
PRESSURES,7.86,35
TACKLES,2.51,95
INTERCEPTIONS,2.85,97
BLOCKS,2.89,99
CLEARANCES,5.77,74
AERIAL_DUELS_WON,3.65,87
