Hack,Robin,Arminia
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,1
NON_PEN_XG,0.15,26
TOTAL_SHOTS,2.26,65
ASSISTS,0.00,1
XA,0.11,13
NON_PEN_XG+XA,0.26,16
SHOT_CREATIONS,2.14,10
PASSES_ATTEMPTED,32.14,24
PASS_COMPLETION_PERCENTAGE,72.2,27
PROGRESSIVE_PASSES,3.33,51
PROGRESSIVE CARRIES,5.24,33
DRIBBLES_COMPLETED,2.26,78
TOUCHES_IN_AREA,3.33,36
PROGRESSIVE_PASSES_RECIEVED,6.55,53
PRESSURES,18.45,72
TACKLES,0.83,13
INTERCEPTIONS,0.83,45
BLOCKS,1.07,37
CLEARANCES,0.71,73
AERIAL_DUELS_WON,0.24,11
