Fernandes,Edimilson,Arminia
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.11,95
TOTAL_SHOTS,1.54,96
ASSISTS,0.15,81
XA,0.09,61
NON_PEN_XG+XA,0.20,83
SHOT_CREATIONS,2.47,85
PASSES_ATTEMPTED,37.82,5
PASS_COMPLETION_PERCENTAGE,76.3,37
PROGRESSIVE_PASSES,4.17,70
PROGRESSIVE CARRIES,2.62,8
DRIBBLES_COMPLETED,0.77,50
TOUCHES_IN_AREA,1.85,71
PROGRESSIVE_PASSES_RECIEVED,1.85,39
PRESSURES,13.89,67
TACKLES,0.62,1
INTERCEPTIONS,2.32,91
BLOCKS,1.54,25
CLEARANCES,2.32,47
AERIAL_DUELS_WON,0.93,34
