Barrett Laursen,Jacob,Arminia
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,81
NON_PEN_XG,0.01,18
TOTAL_SHOTS,0.42,31
ASSISTS,0.05,29
XA,0.07,38
NON_PEN_XG+XA,0.08,24
SHOT_CREATIONS,0.61,1
PASSES_ATTEMPTED,45.14,19
PASS_COMPLETION_PERCENTAGE,72.8,19
PROGRESSIVE_PASSES,2.67,13
PROGRESSIVE CARRIES,2.11,3
DRIBBLES_COMPLETED,1.03,67
TOUCHES_IN_AREA,0.61,12
PROGRESSIVE_PASSES_RECIEVED,0.56,1
PRESSURES,12.68,51
TACKLES,1.64,24
INTERCEPTIONS,1.92,74
BLOCKS,2.57,92
CLEARANCES,2.81,72
AERIAL_DUELS_WON,1.12,46
