Ortega,Stefan,Arminia
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.08,82
GOALS_CONCEDED,1.34,50
SAVE_PERCENTAGE,75.1,88
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.27,21
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,36.8,86
TOUCHES,57.13,99
LAUNCH_PERCENTAGE,54.9,83
GOAL_KICKS,8.18,75
AVG_GOAL_KICK_DISTANCE,52.7,80
CROSSES_STOPPED_PERCENTAGE,8.0,66
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.00,87
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,15.7,84
